,rel,head,tail,misc,misc2,score_grammar_1,score_no_grammar_1,score_grammar_2,score_no_grammar_2,score_grammar_3,score_no_grammar_3,score_grammar_4,score_no_grammar_4,score_grammar_5,score_no_grammar_5,score_grammar_6,score_no_grammar_6,score_grammar_7,score_no_grammar_7,score_grammar_8,score_no_grammar_8,score_grammar_9,score_no_grammar_9,score_grammar_10,score_no_grammar_10,top_100,rank_grammar_1,rank_no_grammar_1,rank_grammar_2,rank_no_grammar_2,rank_grammar_3,rank_no_grammar_3,rank_grammar_4,rank_no_grammar_4,rank_grammar_5,rank_no_grammar_5,rank_grammar_6,rank_no_grammar_6,rank_grammar_7,rank_no_grammar_7,rank_grammar_8,rank_no_grammar_8,rank_grammar_9,rank_no_grammar_9,rank_grammar_10,rank_no_grammar_10,Josh-Rating,Joe-Rating,Avg-Rating
582,AtLocation,decay chain,uranium,10,0.00169151258127,7.517342567443848,8.635987281799316,-2.0131969451904297,-3.006476402282715,-11.543736457824707,-14.648940086364746,-21.074275970458984,-26.291403770446777,-30.60481548309326,-37.93386745452881,-40.13535499572754,-49.57633113861084,-49.665894508361816,-61.21879482269287,-59.196434020996094,-72.8612585067749,-68.72697353363037,-84.50372219085693,-78.25751304626465,-96.14618587493896,True,48.0,35.0,182.0,112.0,323.0,214.0,407.0,313.0,489.0,382.0,548.0,427.0,587.0,466.0,618.0,498.0,638.0,522.0,673.0,536.0,,,
605,UsedFor,lake,recreation area,7,0.659981854717,5.459165096282959,3.941596508026123,1.0712404251098633,-4.032315254211426,-3.3166842460632324,-12.006227016448975,-7.704608917236328,-19.980138778686523,-12.092533588409424,-27.954050540924072,-16.48045825958252,-35.92796230316162,-20.868382930755615,-43.90187406539917,-25.25630760192871,-51.87578582763672,-29.644232273101807,-59.84969758987427,-34.0321569442749,-67.82360935211182,True,169.0,528.0,55.0,162.0,37.0,117.0,38.0,102.0,33.0,91.0,31.0,89.0,31.0,88.0,30.0,87.0,33.0,85.0,33.0,85.0,4.0,4.0,4.0
606,UsedFor,pen name,author,40,0.649584212364,7.832601547241211,9.66838550567627,6.76155424118042,2.8889665603637695,5.69050693511963,-3.8904523849487305,4.619459629058839,-10.66987133026123,3.5484123229980478,-17.44929027557373,2.4773650169372576,-24.22870922088623,1.4063177108764666,-31.00812816619873,0.3352704048156756,-37.78754711151123,-0.7357769012451154,-44.56696605682373,-1.8068242073059064,-51.34638500213623,True,34.0,18.0,2.0,6.0,1.0,6.0,2.0,9.0,2.0,12.0,2.0,12.0,2.0,13.0,2.0,14.0,2.0,14.0,2.0,15.0,4.0,3.0,3.5
608,UsedFor,mayor,town council,52,0.609282784807,6.491071939468384,2.419501781463623,2.9383106231689453,-9.926315784454346,-0.6144506931304932,-22.272133350372314,-4.167212009429932,-34.61795091629028,-7.71997332572937,-46.96376848220825,-11.272734642028809,-59.30958604812622,-14.825495958328247,-71.65540361404419,-18.378257274627686,-84.00122117996216,-21.931018590927124,-96.34703874588013,-25.483779907226562,-108.6928563117981,True,100.0,1028.0,23.0,878.0,15.0,881.0,13.0,891.0,13.0,897.0,12.0,901.0,13.0,894.0,13.0,896.0,13.0,902.0,13.0,903.0,,,
614,UsedFor,audio,video recording,7,0.533969071406,4.390446424484253,5.347635269165038,-1.1258254051208496,-1.678603649139406,-6.642097234725952,-8.704842567443851,-12.158369064331055,-15.731081485748295,-17.674640893936157,-22.75732040405274,-23.19091272354126,-29.783559322357185,-28.707184553146362,-36.80979824066163,-34.223456382751465,-43.83603715896607,-39.73972821235657,-50.862276077270515,-45.25600004196167,-57.888514995574965,True,314.0,266.0,134.0,58.0,104.0,35.0,93.0,31.0,89.0,33.0,88.0,32.0,88.0,31.0,86.0,29.0,81.0,30.0,81.0,30.0,,,
627,UsedFor,heat,thermal energy,58,0.354846271779,6.301916837692261,3.436846971511841,-1.030066967010498,-2.9903717041015625,-8.362050771713257,-9.417590379714966,-15.694034576416016,-15.84480905532837,-23.026018381118774,-22.272027730941772,-30.358002185821533,-28.699246406555176,-37.68998599052429,-35.12646508216858,-45.02196979522705,-41.55368375778198,-52.35395359992981,-47.980902433395386,-59.68593740463257,-54.40812110900879,True,114.0,647.0,129.0,109.0,162.0,44.0,189.0,35.0,207.0,29.0,219.0,27.0,227.0,24.0,236.0,24.0,239.0,23.0,242.0,22.0,4.0,4.0,4.0
628,UsedFor,gasoline,fuel economy,9,0.34942414806100003,6.400858402252197,6.810986518859863,0.6770763397216797,2.9392471313476562,-5.046705722808838,-0.9324922561645508,-10.770487785339355,-4.804231643676758,-16.494269847869873,-8.675971031188965,-22.21805191040039,-12.547710418701172,-27.941833972930908,-16.41944980621338,-33.665616035461426,-20.291189193725586,-39.38939809799194,-24.162928581237793,-45.11318016052246,-28.03466796875,True,108.0,105.0,65.0,5.0,67.0,4.0,72.0,3.0,72.0,3.0,75.0,2.0,75.0,2.0,76.0,2.0,77.0,2.0,79.0,2.0,4.0,4.0,4.0
629,UsedFor,draft,first-round pick,11,0.345352304374,4.845643043518066,10.865957260131834,-1.8095107078552246,-1.5757765769958532,-8.464664459228516,-14.017510414123542,-15.119818210601807,-26.459244251251228,-21.774971961975098,-38.90097808837891,-28.43012571334839,-51.342711925506606,-35.08527946472168,-63.78444576263429,-41.74043321609497,-76.22617959976198,-48.39558696746826,-88.66791343688966,-55.05074071884155,-101.10964727401735,True,246.0,10.0,172.0,51.0,167.0,188.0,167.0,323.0,173.0,418.0,173.0,499.0,173.0,562.0,178.0,607.0,179.0,644.0,182.0,670.0,2.0,4.0,3.0
638,UsedFor,town,small community,10,0.289372269733,3.934642791748047,1.8277606964111328,-1.2793288230895996,-11.208683013916016,-6.493300437927246,-24.245126724243164,-11.707272052764893,-37.28157043457031,-16.92124366760254,-50.31801414489746,-22.135215282440186,-63.35445785522461,-27.349186897277832,-76.39090156555176,-32.56315851211548,-89.4273452758789,-37.777130126953125,-102.46378898620605,-42.99110174179077,-115.5002326965332,True,389.0,1260.0,149.0,1156.0,101.0,1165.0,86.0,1161.0,82.0,1155.0,72.0,1154.0,68.0,1154.0,65.0,1154.0,65.0,1153.0,63.0,1155.0,,,
642,UsedFor,dopamine,norepinephrine transporter,7,0.247922371405,0.9525337219238281,9.687968730926514,-31.54398536682129,-12.422448635101318,-64.0405044555664,-34.53286600112915,-96.53702354431152,-56.64328336715698,-129.03354263305664,-78.75370073318481,-161.53006172180176,-100.86411809921265,-194.02658081054688,-122.97453546524048,-226.523099899292,-145.0849528312683,-259.0196189880371,-167.19537019729614,-291.5161380767822,-189.30578756332397,True,1474.0,17.0,2992.0,1447.0,2994.0,2487.0,2993.0,2735.0,2994.0,2824.0,2994.0,2863.0,2994.0,2886.0,2994.0,2897.0,2994.0,2909.0,2994.0,2915.0,4.0,4.0,4.0
656,UsedFor,moon,lunar month,70,0.16903798628400002,4.405925512313843,6.699553966522217,-2.0533785820007324,-2.228714942932129,-8.512682676315308,-11.156983852386475,-14.971986770629883,-20.08525276184082,-21.431290864944458,-29.013521671295166,-27.890594959259033,-37.94179058074951,-34.34989905357361,-46.87005949020386,-40.809203147888184,-55.7983283996582,-47.26850724220276,-64.72659730911255,-53.727811336517334,-73.6548662185669,True,310.0,113.0,185.0,80.0,168.0,89.0,161.0,106.0,160.0,111.0,160.0,116.0,162.0,123.0,159.0,127.0,158.0,133.0,159.0,137.0,,,
661,UsedFor,best actor,actress,120,0.152003870452,3.439652204513548,7.837085247039797,-5.1915957927703875,-0.7821831703186,-13.822843790054323,-9.401451587676995,-22.454091787338257,-18.020720005035393,-31.085339784622192,-26.63998842239379,-39.71658778190613,-35.25925683975218,-48.34783577919006,-43.87852525711058,-56.979083776474,-52.49779367446898,-65.61033177375793,-61.11706209182738,-74.24157977104187,-69.73633050918578,True,508.0,60.0,460.0,36.0,482.0,43.0,506.0,53.0,519.0,73.0,524.0,80.0,530.0,86.0,535.0,90.0,539.0,90.0,542.0,95.0,0.0,1.0,0.5
662,UsedFor,number,first time,97,0.150948528645,-0.2783236503601074,6.933162689208984,-7.329371929168701,0.2640676498413086,-14.380420207977295,-6.405027389526367,-21.43146848678589,-13.074122428894043,-28.482516765594482,-19.74321746826172,-35.533565044403076,-26.412312507629395,-42.58461332321167,-33.08140754699707,-49.635661602020264,-39.750502586364746,-56.68670988082886,-46.41959762573242,-63.73775815963745,-53.0886926651001,True,2105.0,101.0,803.0,24.0,544.0,20.0,430.0,18.0,381.0,17.0,343.0,17.0,326.0,16.0,315.0,16.0,309.0,17.0,305.0,17.0,,,
665,UsedFor,album,re-recorded version,7,0.145261130919,4.546405792236326,7.198392868041992,-6.349668025970461,-6.0951995849609375,-17.245741844177246,-19.388792037963867,-28.141815662384033,-32.6823844909668,-39.03788948059082,-45.97597694396973,-49.93396329879761,-59.269569396972656,-60.830037117004395,-72.56316184997559,-71.72611093521118,-85.85675430297852,-82.62218475341797,-99.15034675598145,-93.51825857162476,-112.44393920898438,True,286.0,90.0,632.0,301.0,877.0,562.0,1005.0,733.0,1072.0,827.0,1124.0,899.0,1166.0,951.0,1199.0,984.0,1217.0,1014.0,1236.0,1038.0,,,
682,UsedFor,radar,stealth technology,7,0.113687568003,6.308638334274292,4.0671000480651855,-1.8728737831115723,-3.827406406402588,-10.054385900497437,-11.721912860870361,-18.2358980178833,-19.616419315338135,-26.417410135269165,-27.510925769805908,-34.59892225265503,-35.40543222427368,-42.780434370040894,-43.299938678741455,-50.96194648742676,-51.19444513320923,-59.14345860481262,-59.088951587677,-67.32497072219849,-66.98345804214478,True,113.0,497.0,176.0,149.0,243.0,106.0,277.0,96.0,308.0,86.0,320.0,82.0,329.0,82.0,343.0,82.0,350.0,80.0,357.0,77.0,,,
694,UsedFor,capital city,nation,7,0.0979946565938,7.147980213165283,3.3112359046936035,1.430579662322998,-7.2771148681640625,-4.286820888519287,-17.86546564102173,-10.004221439361572,-28.453816413879395,-15.721621990203857,-39.04216718673706,-21.439022541046143,-49.63051795959473,-27.156423091888428,-60.21886873245239,-32.87382364273071,-70.80721950531006,-38.591224193573,-81.39557027816772,-44.30862474441528,-91.98392105102539,True,64.0,689.0,45.0,440.0,52.0,416.0,60.0,418.0,61.0,429.0,64.0,431.0,65.0,434.0,69.0,436.0,72.0,438.0,73.0,439.0,,,
699,UsedFor,instruction set,execution,7,0.08886327289359999,2.3008720874786377,6.663855552673341,-2.771815299987793,-0.5852727890014631,-7.844502687454224,-7.834401130676266,-12.917190074920654,-15.08352947235107,-17.989877462387085,-22.332657814025872,-23.062564849853516,-29.581786155700676,-28.135252237319946,-36.83091449737548,-33.20793962478638,-44.080042839050286,-38.28062701225281,-51.32917118072508,-43.35331439971924,-58.57829952239989,True,848.0,116.0,238.0,33.0,145.0,29.0,107.0,29.0,94.0,30.0,87.0,31.0,78.0,32.0,73.0,30.0,68.0,31.0,66.0,35.0,3.0,0.0,1.5
709,UsedFor,fighter,air-to-air combat,11,0.07748836382919999,8.164878845214844,0.3111891746520996,-4.08634090423584,-9.998072147369385,-16.337560653686523,-20.30733346939087,-28.588780403137207,-30.616594791412354,-40.84000015258789,-40.92585611343384,-53.091219902038574,-51.23511743545532,-65.34243965148926,-61.54437875747681,-77.59365940093994,-71.85364007949829,-89.84487915039062,-82.16290140151978,-102.09609889984131,-92.47216272354126,True,30.0,1941.0,351.0,889.0,760.0,659.0,1048.0,569.0,1218.0,527.0,1340.0,493.0,1418.0,475.0,1472.0,465.0,1526.0,459.0,1560.0,452.0,,,
713,UsedFor,vitamin a,a deficiency,7,0.0752587300418,2.5333218574523926,3.5076215267181396,-3.7453088760375977,-1.6002087593078613,-10.023939609527588,-6.708039045333862,-16.302570343017578,-11.815869331359863,-22.58120107650757,-16.923699617385864,-28.85983180999756,-22.031529903411865,-35.13846254348755,-27.139360189437866,-41.41709327697754,-32.24719047546387,-47.69572401046753,-37.35502076148987,-53.97435474395752,-42.46285104751587,True,763.0,621.0,318.0,52.0,239.0,21.0,213.0,11.0,191.0,9.0,183.0,8.0,176.0,8.0,173.0,7.0,167.0,7.0,162.0,7.0,,,
716,UsedFor,precedent,common law,16,0.0724816409726,5.8513970375061035,8.048503398895264,-0.45039796829223633,0.9368915557861328,-6.752192974090576,-6.174720287322998,-13.053987979888916,-13.286332130432129,-19.355782985687256,-20.39794397354126,-25.657577991485596,-27.50955581665039,-31.959372997283936,-34.62116765975952,-38.261168003082275,-41.73277950286865,-44.562963008880615,-48.84439134597778,-50.864758014678955,-55.956003189086914,True,137.0,51.0,104.0,17.0,105.0,19.0,113.0,20.0,113.0,22.0,116.0,21.0,119.0,23.0,119.0,25.0,119.0,25.0,124.0,25.0,4.0,4.0,4.0
729,UsedFor,cotton gin,cultivation,12,0.06156727429,2.709308385848999,3.7976617813110343,-7.7785749435424805,-3.339102268218996,-18.26645827293396,-10.475866317749027,-28.75434160232544,-17.612630367279056,-39.24222493171692,-24.74939441680909,-49.7301082611084,-31.88615846633912,-60.21799159049988,-39.02292251586915,-70.70587491989136,-46.15968656539918,-81.19375824928284,-53.29645061492921,-91.68164157867432,-60.43321466445924,True,709.0,556.0,899.0,124.0,1012.0,72.0,1062.0,44.0,1091.0,43.0,1107.0,42.0,1128.0,43.0,1137.0,43.0,1146.0,43.0,1160.0,44.0,,,
764,UsedFor,name,new party,9,0.0367501312525,1.8192360401153564,8.627830266952515,-4.94470739364624,0.4371037483215332,-11.708650827407837,-7.753622770309448,-18.472594261169434,-15.94434928894043,-25.23653769493103,-24.13507580757141,-32.00048112869263,-32.32580232620239,-38.764424562454224,-40.516528844833374,-45.52836799621582,-48.707255363464355,-52.29231142997742,-56.89798188209534,-59.056254863739014,-65.08870840072632,True,1039.0,36.0,434.0,20.0,330.0,28.0,285.0,36.0,263.0,36.0,256.0,45.0,250.0,54.0,243.0,60.0,238.0,60.0,233.0,63.0,3.0,4.0,3.5
767,UsedFor,reality,physical world,7,0.0342439039088,6.5856547355651855,7.492945671081543,-1.0736126899719238,-2.4367270469665527,-8.732880115509033,-12.366399765014648,-16.392147541046143,-22.296072483062744,-24.051414966583252,-32.22574520111084,-31.71068239212036,-42.155417919158936,-39.36994981765747,-52.08509063720703,-47.02921724319458,-62.01476335525513,-54.68848466873169,-71.94443607330322,-62.3477520942688,-81.87410879135132,True,91.0,76.0,131.0,87.0,180.0,129.0,216.0,151.0,244.0,181.0,251.0,204.0,260.0,217.0,271.0,228.0,276.0,236.0,285.0,255.0,,,
779,UsedFor,nucleus,atomic number,12,0.0268637063286,3.693943500518799,6.3678083419799805,-1.5741534233093262,-3.0533089637756348,-6.842250347137451,-12.47442626953125,-12.110347270965576,-21.895543575286865,-17.3784441947937,-31.31666088104248,-22.646541118621826,-40.737778186798096,-27.91463804244995,-50.15889549255371,-33.182734966278076,-59.580012798309326,-38.4508318901062,-69.00113010406494,-43.718928813934326,-78.42224740982056,True,444.0,145.0,163.0,113.0,106.0,131.0,90.0,139.0,86.0,155.0,84.0,167.0,74.0,181.0,72.0,187.0,70.0,193.0,69.0,197.0,,,
792,UsedFor,comedy,political satire,7,0.020144335222,5.507646083831787,5.6851255893707275,-2.8776307106018066,-1.454272747039795,-11.2629075050354,-8.593671083450317,-19.648184299468994,-15.73306941986084,-28.033461093902588,-22.872467756271362,-36.41873788833618,-30.011866092681885,-44.804014682769775,-37.15126442909241,-53.18929147720337,-44.29066276550293,-61.57456827163696,-51.43006110191345,-69.95984506607056,-58.569459438323975,True,164.0,227.0,245.0,47.0,309.0,33.0,339.0,32.0,363.0,34.0,378.0,33.0,389.0,33.0,401.0,34.0,413.0,32.0,424.0,34.0,,,
795,UsedFor,hip hop,reggae,34,0.0190458738505,3.015965461730957,7.584836006164551,-13.628995895385742,-1.5361924171447754,-30.27395725250244,-10.657220840454102,-46.91891860961914,-19.778249263763428,-63.56387996673584,-28.899277687072754,-80.20884132385254,-38.02030611038208,-96.85380268096924,-47.141334533691406,-113.49876403808594,-56.26236295700073,-130.14372539520264,-65.38339138031006,-146.78868675231934,-74.50441980361938,True,625.0,71.0,2224.0,50.0,2561.0,79.0,2647.0,99.0,2693.0,107.0,2713.0,119.0,2728.0,131.0,2740.0,137.0,2745.0,143.0,2753.0,148.0,1.0,3.0,2.0
798,UsedFor,signal box,station,10,0.0189765897885,5.260122537612915,5.768043756484985,1.2866201400756836,-2.9042367935180664,-2.686882257461548,-11.576517343521118,-6.660384654998779,-20.24879789352417,-10.63388705253601,-28.92107844352722,-14.607389450073242,-37.59335899353027,-18.580891847610474,-46.265639543533325,-22.554394245147705,-54.93792009353638,-26.527896642684937,-63.61020064353943,-30.501399040222168,-72.28248119354248,True,197.0,214.0,50.0,103.0,33.0,104.0,28.0,110.0,27.0,109.0,23.0,111.0,24.0,113.0,24.0,118.0,24.0,122.0,24.0,121.0,,,
801,UsedFor,father,paternal grandfather,34,0.015828651403700003,6.641844987869264,8.18430781364441,-0.37910890579223455,-2.073324680328369,-7.400062799453732,-12.330957174301147,-14.42101669311523,-22.588589668273926,-21.441970586776726,-32.846222162246704,-28.462924480438225,-43.10385465621948,-35.483878374099724,-53.36148715019226,-42.50483226776122,-63.61911964416504,-49.52578616142272,-73.87675213813782,-56.546740055084214,-84.1343846321106,True,86.0,44.0,102.0,71.0,125.0,128.0,145.0,164.0,161.0,200.0,174.0,221.0,187.0,244.0,195.0,269.0,198.0,286.0,202.0,298.0,,,
803,UsedFor,message,public key,30,0.0155927097937,1.908341407775879,7.394994735717773,-6.019702434539795,-4.445265293121338,-13.947746276855469,-16.28552532196045,-21.875790119171143,-28.12578535079956,-29.803833961486816,-39.96604537963867,-37.73187780380249,-51.80630540847778,-45.659921646118164,-63.646565437316895,-53.58796548843384,-75.486825466156,-61.51600933074951,-87.32708549499512,-69.44405317306519,-99.16734552383423,True,1006.0,81.0,579.0,191.0,499.0,305.0,457.0,403.0,441.0,466.0,434.0,525.0,422.0,557.0,411.0,581.0,407.0,604.0,405.0,622.0,,,
811,UsedFor,site,state park,14,0.0118100277079,2.574204444885254,6.145177841186523,-5.855123043060303,-0.6215291023254395,-14.28445053100586,-7.388236045837402,-22.713778018951416,-14.154942989349365,-31.143105506896973,-20.921649932861328,-39.57243299484253,-27.68835687637329,-48.001760482788086,-34.455063819885254,-56.43108797073364,-41.22177076339722,-64.8604154586792,-47.98847770690918,-73.28974294662476,-54.75518465042114,True,751.0,166.0,553.0,34.0,531.0,27.0,527.0,24.0,523.0,24.0,516.0,22.0,515.0,22.0,515.0,22.0,517.0,24.0,518.0,23.0,3.0,2.0,2.5
819,UsedFor,lambda calculus,application,8,0.00975043765306,1.804046869277954,4.085639715194702,-4.573760747909546,-3.323265552520752,-10.951568365097046,-10.732170820236206,-17.329375982284546,-18.14107608795166,-23.707183599472046,-25.549981355667114,-30.084991216659546,-32.95888662338257,-36.462798833847046,-40.36779189109802,-42.840606451034546,-47.77669715881348,-49.218414068222046,-55.18560242652893,-55.596221685409546,-62.594507694244385,True,1044.0,492.0,397.0,123.0,292.0,80.0,249.0,61.0,234.0,56.0,213.0,52.0,203.0,51.0,198.0,52.0,195.0,52.0,191.0,53.0,,,
820,UsedFor,overhead cam,engine,8,0.00955268367309,2.2126870155334473,6.102529525756836,-7.169161319732666,-2.455328941345215,-16.55100965499878,-11.013187408447266,-25.932857990264893,-19.571045875549316,-35.314706325531006,-28.128904342651367,-44.69655466079712,-36.68676280975342,-54.07840299606323,-45.24462127685547,-63.460251331329346,-53.80247974395752,-72.84209966659546,-62.36033821105957,-82.22394800186157,-70.91819667816162,True,880.0,171.0,770.0,88.0,789.0,84.0,796.0,93.0,798.0,96.0,798.0,95.0,796.0,98.0,800.0,99.0,799.0,101.0,805.0,103.0,4.0,1.0,2.5
832,UsedFor,spanning tree,network,7,0.007526649742439998,4.688405752182007,7.83793830871582,-4.272175312042236,-2.0929927825927734,-13.23275637626648,-12.023923873901367,-22.193337440490723,-21.95485496520996,-31.153918504714966,-31.885786056518555,-40.11449956893921,-41.81671714782715,-49.07508063316345,-51.74764823913574,-58.035661697387695,-61.678579330444336,-66.99624276161194,-71.60951042175293,-75.95682382583618,-81.54044151306152,True,268.0,58.0,367.0,73.0,435.0,118.0,481.0,140.0,525.0,173.0,545.0,195.0,558.0,211.0,572.0,220.0,585.0,230.0,595.0,245.0,4.0,3.0,3.5
843,UsedFor,version,bonus track,23,0.0061321028246,3.4289798736572266,7.785909652709961,-2.7692294120788574,0.817713737487793,-8.967438697814941,-6.150482177734375,-15.165647983551025,-13.118678092956543,-21.36385726928711,-20.08687400817871,-27.562066555023193,-27.05506992340088,-33.76027584075928,-34.02326583862305,-39.95848512649536,-40.991461753845215,-46.156694412231445,-47.95965766906738,-52.35490369796753,-54.92785358428955,True,509.0,64.0,237.0,19.0,192.0,18.0,169.0,19.0,158.0,19.0,155.0,19.0,148.0,20.0,146.0,21.0,145.0,22.0,142.0,24.0,3.0,0.0,1.5
847,UsedFor,year,annual event,7,0.00496127079364,1.8535935878753662,0.15511417388916016,-2.802271604537964,-14.915859699249268,-7.458136796951294,-29.986833572387695,-12.114001989364624,-45.05780744552612,-16.769867181777954,-60.12878131866455,-21.425732374191284,-75.19975519180298,-26.081597566604614,-90.2707290649414,-30.737462759017944,-105.34170293807983,-35.393327951431274,-120.41267681121826,-40.049193143844604,-135.4836506843567,True,1028.0,2002.0,241.0,2007.0,128.0,1982.0,91.0,1963.0,79.0,1958.0,63.0,1955.0,60.0,1947.0,57.0,1940.0,56.0,1938.0,55.0,1934.0,,,
887,UsedFor,plural form,word,21,0.000679987013306,4.135377883911133,6.506516933441162,-0.1552410125732422,-2.1267099380493164,-4.445859909057617,-10.759936809539795,-8.736478805541992,-19.393163681030273,-13.027097702026367,-28.026390552520752,-17.317716598510742,-36.65961742401123,-21.608335494995117,-45.29284429550171,-25.898954391479492,-53.92607116699219,-30.189573287963867,-62.559298038482666,-34.48019218444824,-71.19252490997314,True,357.0,133.0,90.0,76.0,54.0,81.0,44.0,88.0,42.0,92.0,38.0,94.0,38.0,100.0,35.0,102.0,35.0,106.0,35.0,108.0,4.0,1.0,2.5
911,ReceivesAction,honor society,society in psychology,7,0.7460637966920001,5.295778274536133,7.054227828979492,-6.388619422912598,-11.425557136535645,-18.073017120361328,-29.90534210205078,-29.75741481781006,-48.38512706756592,-41.44181251525879,-66.86491203308105,-53.12621021270752,-85.34469699859619,-64.81060791015625,-103.82448196411133,-76.49500560760498,-122.30426692962646,-88.17940330505371,-140.7840518951416,-99.86380100250244,-159.26383686065674,True,192.0,97.0,641.0,1208.0,988.0,1973.0,1169.0,2256.0,1264.0,2394.0,1345.0,2464.0,1386.0,2512.0,1421.0,2548.0,1449.0,2577.0,1470.0,2592.0,,,
915,ReceivesAction,income,standard of living,17,0.720244355277,4.30975341796875,8.601542234420776,-2.2014198303222656,-0.9499969482421875,-8.712593078613281,-10.501536130905151,-15.223766326904297,-20.053075313568115,-21.734939575195312,-29.60461449623108,-28.246112823486328,-39.15615367889404,-34.757286071777344,-48.70769286155701,-41.26845932006836,-58.25923204421997,-47.779632568359375,-67.81077122688293,-54.29080581665039,-77.3623104095459,True,325.0,37.0,195.0,38.0,178.0,73.0,172.0,105.0,171.0,123.0,167.0,141.0,169.0,155.0,170.0,171.0,169.0,176.0,168.0,181.0,,,
926,ReceivesAction,energy,dissipated as heat,12,0.6187040470499999,7.908173084259028,6.248330354690552,-4.949212074279792,2.0153770446777344,-17.806597232818614,-2.217576265335083,-30.663982391357433,-6.4505295753479,-43.521367549896254,-10.683482885360718,-56.37875270843507,-14.916436195373535,-69.23613786697389,-19.149389505386353,-82.09352302551271,-23.38234281539917,-94.95090818405153,-27.615296125411987,-107.80829334259036,-31.848249435424805,True,32.0,155.0,436.0,10.0,951.0,5.0,1244.0,4.0,1439.0,4.0,1554.0,4.0,1643.0,4.0,1704.0,3.0,1753.0,3.0,1802.0,3.0,4.0,4.0,4.0
945,ReceivesAction,city,part of town,13,0.500123675117,4.854067802429199,6.562543869018555,-1.4575309753417969,-1.6371593475341797,-7.769129753112793,-9.836862564086914,-14.080728530883789,-18.03656578063965,-20.392327308654785,-26.236268997192383,-26.70392608642578,-34.43597221374512,-33.01552486419678,-42.63567543029785,-39.32712364196777,-50.835378646850586,-45.63872241973877,-59.03508186340332,-51.950321197509766,-67.23478507995605,True,245.0,127.0,160.0,56.0,144.0,52.0,135.0,56.0,135.0,63.0,135.0,68.0,136.0,71.0,139.0,73.0,138.0,78.0,139.0,80.0,0.0,2.0,1.0
953,ReceivesAction,monarchy,form of government,32,0.44770217251,5.8236401081085205,8.122491121292114,0.8531804084777832,-0.029111862182617188,-4.117279291152954,-8.180714845657349,-9.087738990783691,-16.33231782913208,-14.058198690414429,-24.48392081260681,-19.028658390045166,-32.63552379608154,-23.999118089675903,-40.787126779556274,-28.96957778930664,-48.938729763031006,-33.94003748893738,-57.09033274650574,-38.910497188568115,-65.24193572998047,True,142.0,48.0,62.0,27.0,50.0,30.0,49.0,38.0,50.0,40.0,50.0,49.0,48.0,57.0,51.0,61.0,49.0,61.0,49.0,65.0,0.0,1.0,0.5
972,ReceivesAction,category theory,branch of mathematics,12,0.374982227878,6.714195251464844,6.135391473770143,0.21636390686035156,-8.023355484008786,-6.281467437744141,-22.182102441787713,-12.779298782348633,-36.34084939956664,-19.277130126953125,-50.49959635734557,-25.774961471557617,-64.6583433151245,-32.27279281616211,-78.81709027290343,-38.7706241607666,-92.97583723068236,-45.268455505371094,-107.13458418846129,-51.766286849975586,-121.2933311462402,True,82.0,169.0,75.0,553.0,93.0,870.0,103.0,1056.0,110.0,1175.0,118.0,1246.0,122.0,1296.0,128.0,1346.0,135.0,1365.0,136.0,1387.0,0.0,4.0,2.0
974,ReceivesAction,current,flow of electric charge,8,0.352038652715,8.24642276763916,5.209627866744995,1.231898307800293,-8.309559345245361,-5.782626152038574,-21.828746557235718,-12.797150611877441,-35.347933769226074,-19.81167507171631,-48.86712098121643,-26.826199531555176,-62.38630819320679,-33.84072399139404,-75.90549540519714,-40.85524845123291,-89.4246826171875,-47.86977291107178,-102.94386982917786,-54.884297370910645,-116.46305704116821,True,26.0,282.0,51.0,577.0,78.0,824.0,104.0,960.0,126.0,1032.0,136.0,1093.0,151.0,1134.0,160.0,1152.0,171.0,1178.0,176.0,1190.0,0.0,4.0,2.0
975,ReceivesAction,president,governor for unexpired term,7,0.35182336787,1.3362786769866943,9.036877155303952,-22.477578163146973,-14.163752555847175,-46.29143500328064,-37.364382266998305,-70.1052918434143,-60.56501197814943,-93.91914868354797,-83.76564168930055,-117.73300552368164,-106.96627140045169,-141.5468623638153,-130.1669011116028,-165.36071920394897,-153.36753082275393,-189.17457604408264,-176.56816053390506,-212.9884328842163,-199.76879024505618,True,1257.0,28.0,2940.0,1831.0,2958.0,2688.0,2960.0,2859.0,2961.0,2902.0,2962.0,2919.0,2962.0,2932.0,2962.0,2936.0,2962.0,2938.0,2962.0,2942.0,,,
976,ReceivesAction,velocity,rate of change,10,0.351558247458,7.0765626430511475,7.795019626617432,1.1836137771606445,-1.8244686126708984,-4.709335088729858,-11.443956851959229,-10.602283954620361,-21.06344509124756,-16.495232820510864,-30.68293333053589,-22.388181686401367,-40.30242156982422,-28.28113055229187,-49.92190980911255,-34.17407941818237,-59.54139804840088,-40.067028284072876,-69.16088628768921,-45.95997714996338,-78.78037452697754,True,67.0,63.0,53.0,63.0,63.0,98.0,67.0,124.0,73.0,143.0,78.0,157.0,82.0,174.0,84.0,185.0,85.0,195.0,86.0,200.0,,,
